"Câu trả lời","Nội dung chính"
"Môn Hệ thống máy tính là môn học giúp sinh viên có được những kiến thức cơ bản về một hệ thống máy tính, các thành phần liên quan, cách thức hoạt động của các thành phần, cách thao tác với một hệ điều hành, tìm hiểu một số thông tin trên hệ điều hành, cài đặt máy ảo, một số thuật toán phân trang,... Giảng viên đề xuất: Cô Lê Thị Thủy",Hệ thống máy tính
"Môn Khai thác dữ liệu và ứng dụng là môn học giúp sinh viên có được những kiến thức nền tảng quan trọng trong lĩnh vực khai phá dữ liệu. Hiểu được quy trình khai phá dữ liệu, các bước tiền xử lý dữ liệu, khai thác luật kết hợp, phân loại và phân cụm dữ liệu, chuỗi tuần tự,... Sử dụng công cụ Weka để triển khai các bước trong quy trình khai phá dữ liệu. Giảng viên đề xuất: Cô Phạm Thị Thiết",Khai thác dữ liệu và ứng dụng
"Môn Trí tuệ nhân tạo là môn học đầu tiên giúp sinh viên làm quen với những khái niệm ban đầu và thuật toán trong lĩnh vực trí tuệ nhân tạo. Nội dung môn học gồm có: tổng quan về trí tuệ nhân tạo, các giải thuật tìm kiếm cơ bản: BFS, DFS, Greedy Search, A*, Minimax,..., giải thuật tiến hóa, cây quyết định, k-means, mạng nơron,... Giảng Viên đề xuất: Cô Đặng Thị Phúc",Trí tuệ nhân tạo
"Môn Học sâu - Deep Learning là môn học cần thiết và bắt buộc đối với sinh viên ngành Khoa học máy tính. Đây là môn học nền tảng cho môn Xử lý ngôn ngữ tự nhiên - NLP. Trong môn học này sinh viên sẽ được tiếp cận với các kiến thức về: mạng nơron, CNN, RNN, GAN, những bài toán đơn giản trong NLP,... Hiện thực các mô hình trên bằng ngôn ngữ Python. Giảng viên đề xuất: Cô Đặng Thị Phúc",Học sâu - Deep Learning
"Môn Xử lý ngôn ngữ tự nhiên - NLP là một học tiếp nối của môn Học sâu. Đây là môn học cung cấp cho sinh viên cái nhìn chuyên sâu về lĩnh vực xử lý ngôn ngữ tự nhiên. Nội dung môn học bao gồm các nội dung sau: Giới thiệu về xử lý ngôn ngữ tự nhiên, tiền xử lý văn bản, phân tích cú pháp, từ vựng, ngữ nghĩa, mô hình N-gram, Word Embedding, Mô hình tuần tự, CNN, một số bài toán trong xử lý ngôn ngữ tự nhiên,... Kết hợp kiến thức đã học vào giải quyết bài toán thực tế. Giảng viên đề xuất: Cô Đặng Thị Phúc",Xử lý ngôn ngữ tự nhiên - NLP
"Môn Thống kê máy tính và ứng dụng là môn học quan trọng đối với sinh viên ngành Khoa học máy tính. Đây là môn nền tảng cho môn máy học và nhận dạng mẫu. Nội dung môn học gồm có: giới thiệu về thống kê, thu thập dữ liệu, tổng hợp và trực quan hóa dữ liệu, mô tả, khám phá, so sánh dữ liệu, độ đo trung tâm, độ đo phân tán, xác suất, phân phối xác suất rời rạc, phân phối xác suất liên tục, ước lượng, kiểm định, hồi quy,...Thực hành thống kê trên ngôn ngữ Python. Giảng viên đề xuất: Thầy Trương Vĩnh Linh",Thống kê máy tính và ứng dụng
"Môn Tương tác người máy là môn học cung cấp cho sinh viên cái nhìn tổng quan về cách tương tác giữa con người và hệ thống. Trong môn học này sinh viên sẽ được làm quen với các khái niệm về UX, UI, tìm hiểu về trải nghiệm người dùng, phân tích đặc điểm của các hệ thống, các hình thức tương tác, viết kịch bản, thiết kế giao diện,... Giảng viên đề xuất: Cô Phan Thị Bảo Trân",Tương tác người máy
"Môn Automat và Ngôn ngữ hình thức là môn học cung cấp các kiến thức cơ bản về ngôn ngữ, văn phạm và ôtômát, các phương pháp phân tích từ vựng, phân tích cú pháp, tìm hiểu quy trình biên dịch của ngôn ngữ lập trình, ôtômát hữu hạn, biểu thức và văn phạm chính quy, văn phạm và văn phạm phi ngữ cảnh, ôtômát đẩy xuống, máy turing,... Giảng viên đề xuất: Thầy Phạm Văn Chung - Cô Nguyễn Thị Thanh Bình",Automat và ngôn ngữ hình thức
"Môn Phân tích thiết kế giải thuật là môn học cung cấp cái nhìn chuyên sâu về thuật toán cho sinh viên. Trong môn học này sinh viên sẽ được học các nội dung sau: đệ quy và hệ thức truy hồi, phân tích độ phức tạp giải thuật, giải thuật lặp, chiến lược thiết kế giải thuật, chia để trị, giảm để trị, biến thể để trị, quy hoạch động, giải thuật tham lam, giải thuật quay lui, giải thuật xấp xỉ,... Giảng viên đề xuất: Thầy Phạm Văn Chung",Phân tích thiết kế giải thuật
"Môn Đồ họa máy tính là môn học cung cấp cho sinh viên những kiến thức cơ sở để lập trình hiển thị và biến đổi đối tượng trên máy tính, thuật toán vẽ các đường cơ bản, biến hình 2D, 3D, xén hình, các phép chiếu trong đồ họa, thuật toán tô màu,... Lập trình đồ họa bằng ngôn ngữ Visual C++ với OpenGL. Giảng viên đề xuất: Thầy Bùi Công Danh",Đồ họa máy tính
